type,count,_key,_from,_to
retweet,3,0,people/91169926,people/208312922
mentions,1,1,people/208312922,people/91169926
retweet,2,2,people/191257554,people/208312922
mentions,1,3,people/208312922,people/1085199426837188600
retweet,1,4,people/4058687172,people/1085199426837188600
mentions,4,5,people/201277609,people/1085199426837188600
retweet,1,6,people/91169926,people/81658145
retweet,1,7,people/201277609,people/78865306
retweet,1,8,people/201277609,people/16112517
retweet,1,9,people/81658145,people/10414152
retweet,1,10,people/16112517,people/78865306
mentions,1,11,people/16112517,people/1314101
mentions,4,12,people/16112517,people/247943631
mentions,1,13,people/16112517,people/1873322353
mentions,1,14,people/78865306,people/247943631
mentions,1,15,people/30009655,people/81658145
mentions,4,16,people/19299318,people/247943631
retweet,1,17,people/2873695769,people/19299318
retweet,2,18,people/2596138699,people/201277609
retweet,1,19,people/40219508,people/1085199426837188600
mentions,1,20,people/19299318,people/40219508
mentions,1,21,people/19299318,people/270431596
mentions,1,22,people/16112517,people/40219508
mentions,1,23,people/16112517,people/270431596
retweet,1,24,people/16112517,people/19299318
mentions,1,25,people/19299318,people/16112517
mentions,1,26,people/40219508,people/270431596
retweet,1,27,people/2889052877,people/19299318
retweet,1,28,people/241173920,people/81658145
retweet,1,29,people/1055379531731796000,people/78865306
retweet,1,30,people/43953969,people/19299318
retweet,1,31,people/84043985,people/81658145
retweet,2,32,people/191257554,people/81658145
retweet,1,33,people/16557883,people/81658145
mentions,1,34,people/78865306,people/1055379531731796000
retweet,1,35,people/1085199426837188600,people/201277609
retweet,1,36,people/6146692,people/81658145
retweet,4,37,people/944216617268973600,people/16112517
mentions,1,38,people/19283433,people/2889052877
mentions,4,39,people/19283433,people/19283433
retweet,2,40,people/2889052877,people/19283433
mentions,2,41,people/19283433,people/1667081238
retweet,2,42,people/19283433,people/19299318
mentions,1,43,people/188046229,people/19283433
mentions,2,44,people/188046229,people/1667081238
retweet,1,45,people/188046229,people/19283433
mentions,1,46,people/19299318,people/1667081238
retweet,1,47,people/201277609,people/81658145
retweet,1,48,people/1085199426837188600,people/19283433
retweet,4,49,people/1658560038,people/19283433
mentions,1,50,people/19283433,people/190726679
mentions,1,51,people/19283433,people/1085199426837188600
retweet,1,52,people/1667081238,people/19283433
retweet,1,53,people/19283433,people/19283433
retweet,1,54,people/2924711485,people/40219508
retweet,2,55,people/318046158,people/208312922
retweet,1,56,people/40219508,people/395853499
retweet,1,57,people/241173920,people/395853499
retweet,2,58,people/395853499,people/81658145
mentions,1,59,people/81658145,people/85844572
mentions,3,60,people/81658145,people/395853499
retweet,1,61,people/18406335,people/395853499
retweet,1,62,people/81658145,people/395853499
mentions,1,63,people/395853499,people/16112517
mentions,1,64,people/81658145,people/270431596
mentions,1,65,people/79908341,people/395853499
retweet,1,66,people/78865306,people/40219508
mentions,1,67,people/40219508,people/78865306
retweet,1,68,people/16112517,people/1325316703
retweet,2,69,people/18406335,people/16112517
retweet,1,70,people/270431596,people/16112517
retweet,1,71,people/81658145,people/16112517
retweet,2,72,people/1085199426837188600,people/40219508
retweet,1,73,people/16112517,people/40219508
mentions,1,74,people/40219508,people/16112517
mentions,2,75,people/40219508,people/1085199426837188600
mentions,2,76,people/40219508,people/395853499
retweet,1,77,people/40219508,people/2527017636
retweet,1,78,people/18406335,people/208312922
retweet,1,79,people/4893004803,people/40219508
retweet,1,80,people/446672281,people/2527017636
retweet,1,81,people/92951551,people/2527017636
retweet,2,82,people/1085199426837188600,people/2527017636
mentions,2,83,people/2527017636,people/1085199426837188600
mentions,2,84,people/2527017636,people/446672281
mentions,2,85,people/2527017636,people/92951551
mentions,1,86,people/2527017636,people/158685605
retweet,1,87,people/2527017636,people/40219508
retweet,1,88,people/446672281,people/40219508
retweet,1,89,people/1085199426837188600,people/208312922
retweet,1,90,people/1085199426837188600,people/30009655
retweet,1,91,people/395853499,people/40219508
retweet,1,92,people/1006945298,people/208312922
mentions,1,93,people/30009655,people/201277609
mentions,1,94,people/30009655,people/1085199426837188600
mentions,1,95,people/30009655,people/2596138699
retweet,1,96,people/227831457,people/208312922
retweet,1,97,people/201277609,people/1085199426837188600
retweet,1,98,people/84043985,people/208312922
retweet,1,99,people/29700681,people/208312922
mentions,1,100,people/208312922,people/4597853354
retweet,1,101,people/79908341,people/247943631
retweet,1,102,people/4893004803,people/247943631
retweet,1,103,people/1085199426837188600,people/19299318
retweet,1,104,people/1085199426837188600,people/1035496563743842300
retweet,1,105,people/2889052877,people/247943631
retweet,1,106,people/191257554,people/10414152
retweet,1,107,people/1035496563743842300,people/247943631
retweet,1,108,people/14905766,people/247943631
retweet,1,109,people/318046158,people/247943631
retweet,1,110,people/824684769543741400,people/247943631
retweet,1,111,people/49457800,people/247943631
retweet,1,112,people/711885257549680600,people/247943631
mentions,1,113,people/30009655,people/18325271
mentions,1,114,people/30009655,people/16112517
retweet,1,115,people/711885257549680600,people/201277609
retweet,1,116,people/711885257549680600,people/1035496563743842300
retweet,1,117,people/1873322353,people/247943631
retweet,1,118,people/1556132462,people/247943631
retweet,1,119,people/18704160,people/247943631
retweet,1,120,people/1652270612,people/247943631
retweet,1,121,people/31638712,people/247943631
retweet,1,122,people/9527212,people/247943631
retweet,1,123,people/16557883,people/247943631
retweet,1,124,people/208312922,people/247943631
retweet,1,125,people/136400506,people/247943631
retweet,1,126,people/82890309,people/247943631
retweet,1,127,people/1667081238,people/247943631
retweet,1,128,people/2527017636,people/247943631
retweet,1,129,people/44195788,people/247943631
retweet,1,130,people/84043985,people/10414152
retweet,1,131,people/84043985,people/16112517
retweet,1,132,people/18704160,people/16112517
retweet,2,133,people/1652270612,people/10414152
retweet,5,134,people/1652270612,people/16112517
retweet,1,135,people/3230388598,people/30009655
retweet,1,136,people/1652270612,people/30009655
retweet,1,137,people/1652270612,people/81658145
retweet,1,138,people/446672281,people/81658145
retweet,1,139,people/36853217,people/10414152
retweet,1,140,people/403626099,people/208312922
retweet,1,141,people/2873695769,people/208312922
retweet,1,142,people/318046158,people/16112517
retweet,3,143,people/91169926,people/16112517
retweet,1,144,people/2527017636,people/81658145
retweet,1,145,people/15208867,people/10414152
retweet,1,146,people/91169926,people/1873322353
retweet,1,147,people/1556132462,people/16112517
retweet,1,148,people/889998600,people/208312922
retweet,1,149,people/11493602,people/10414152
retweet,1,150,people/14148549,people/10414152
mentions,1,151,people/1035496563743842300,people/1085199426837188600
mentions,1,152,people/10414152,people/247943631
mentions,1,153,people/19299318,people/81658145
mentions,1,154,people/19299318,people/1085199426837188600
mentions,1,155,people/19299318,people/909697437694087200
mentions,1,156,people/81658145,people/19299318
mentions,1,157,people/81658145,people/1085199426837188600
mentions,1,158,people/81658145,people/909697437694087200
retweet,3,159,people/22766040,people/16112517
mentions,1,160,people/31638712,people/247943631
retweet,1,161,people/6146692,people/16112517
mentions,2,162,people/2873695769,people/247943631
retweet,1,163,people/21084111,people/16112517
mentions,1,164,people/16112517,people/1068137549355515900
retweet,1,165,people/19283433,people/16112517
retweet,1,166,people/743468486756868100,people/91169926
retweet,1,167,people/92951551,people/81658145
retweet,1,168,people/208312922,people/91169926
retweet,1,169,people/136400506,people/16112517
retweet,1,170,people/136400506,people/1873322353
retweet,2,171,people/1873322353,people/16112517
mentions,1,172,people/1873322353,people/136400506
retweet,1,173,people/31638712,people/16112517
retweet,3,174,people/701375574,people/81658145
mentions,1,175,people/91169926,people/208312922
retweet,1,176,people/1055379531731796000,people/2924711485
retweet,1,177,people/201277609,people/1652270612
